"","Isolate","Set","rep","ppm","one","two","average_length","avgC","relative"
"91","Czm_20_103","1",1,0,8.92,10.26,8.59,11.8575,0.724436010963525
"92","Czm_20_103","1",1,0.01,8.74,6.91,6.825,11.8575,0.575585072738773
"93","Czm_20_103","1",1,0.1,7.11,6.21,5.66,11.8575,0.477335020029517
"94","Czm_20_103","1",1,0.5,3.18,2.84,2.01,11.8575,0.169512966476913
"95","Czm_20_103","1",1,1,1.19,1.3,0.245,11.8575,0.0206620282521611
"96","Czm_20_103","1",1,2.5,1,1,0,11.8575,0
"97","Czm_20_103","1",1,5,1,1,0,11.8575,0
"98","Czm_20_103","1",1,10,1,1,0,11.8575,0
"99","Czm_20_103","1",1,20,1,1,0,11.8575,0
"100","Czm_20_103","1",2,0,16.5,15.75,15.125,11.8575,1.27556398903647
"101","Czm_20_103","1",2,0.01,4.82,5.79,4.305,11.8575,0.363061353573688
"102","Czm_20_103","1",2,0.1,7.7,7.25,6.475,11.8575,0.5460678895214
"103","Czm_20_103","1",2,0.5,3.76,3.4,2.58,11.8575,0.217583807716635
"104","Czm_20_103","1",2,1,1.39,1.26,0.325,11.8575,0.0274088129875606
"105","Czm_20_103","1",2,2.5,1,1,0,11.8575,0
"106","Czm_20_103","1",2,5,1,1,0,11.8575,0
"107","Czm_20_103","1",2,10,1,1,0,11.8575,0
"108","Czm_20_103","1",2,20,1,1,0,11.8575,0
"109","Czm_20_104","1",1,0,5.33,5.62,4.475,4.4825,0.998326826547685
"110","Czm_20_104","1",1,0.01,5.63,5.07,4.35,4.4825,0.970440602342443
"111","Czm_20_104","1",1,0.1,6.17,5.64,4.905,4.4825,1.09425543781372
"112","Czm_20_104","1",1,0.5,3.2,3.59,2.395,4.4825,0.534300055772448
"113","Czm_20_104","1",1,1,2.27,2.77,1.52,4.4825,0.33909648633575
"114","Czm_20_104","1",1,2.5,1.45,1.69,0.57,4.4825,0.127161182375906
"115","Czm_20_104","1",1,5,1,1,0,4.4825,0
"116","Czm_20_104","1",1,10,1,1,0,4.4825,0
"117","Czm_20_104","1",1,20,1,1,0,4.4825,0
"118","Czm_20_104","1",2,0,5.4,5.58,4.49,4.4825,1.00167317345231
"119","Czm_20_104","1",2,0.01,6.5,5.61,5.055,4.4825,1.12771890686001
"120","Czm_20_104","1",2,0.1,4.52,4.79,3.655,4.4825,0.815393195761294
"121","Czm_20_104","1",2,0.5,3.19,3.39,2.29,4.4825,0.510875627440045
"122","Czm_20_104","1",2,1,2.59,3.02,1.805,4.4825,0.402677077523703
"123","Czm_20_104","1",2,2.5,1.94,2.48,1.21,4.4825,0.269938650306748
"124","Czm_20_104","1",2,5,1,1,0,4.4825,0
"125","Czm_20_104","1",2,10,1,1,0,4.4825,0
"126","Czm_20_104","1",2,20,1,1,0,4.4825,0
"127","Czm_20_105","1",1,0,6.2,6.02,5.11,5.17,0.988394584139265
